tract,AgeDependencyRatio,Population,Median_Age,PctMale,PctFemale,PctBlack,PctAmIndian_AlaskaNat,PctAsian,PctNatHaw_PacIsland,PctOther,PctMixed,PctHispanicLatino,PctWhiteNonHisp,PctMinority,Age5andUp,LimitedEngProf5andUP,Age25andUp,LessThanHS,HSOnly,SomeCollege,Bachelors,Grad_Professional,TotalPop16Over,Unemployment,PovertyN,PercPoverty,Total,NativeN,PctNative,ForeignBornN,PctForeignBorn,TotalHHN,FemaleHHN,FemaleHHPct,MedianIncomeHH,TotalHH,OwnerOccN,OwnerOccAfter2015,OwnerOcc2010_2014,OwnerOcc_2009,OwnerOcc2000_2009,OwnerOcc1990_1999,OwnerOcc1980_1989,OwnerOcc1970_1979,RenterOccN,RenterOcc2015,RenterOcc2010_2014,RenterOcc2009,RenterOcc2000_2009,RenterOcc1990_1999,RenterOcc1980_1989,RenterOcc1979,AllOcc2009N,AllOcc2009Pct,TotalPop5Over,PctEnglishVeryWell,PctEnglishLessWell,PctEnglishLessWell_Spanish,UnitsTotal,OccUnitsN,PctOccHousing,VacantUnitsN,PctVacHousing,HHNOcc,OwnOccNOcc,OwnerOcc1_01_1_5,OwnerOcc1_51_2_0,OwnerOcc2_01_more_or_mor,OwnerOcc01_01_more,RentOccNOcc,RenterOc1_01_1_5,RenterOc1_51_2_0,RenterOc2_01_more_oor_mo,RenterOcc1_01_more,AnyOcc1_01_moreN,AnyOcc1_01_morePct,PovPopMeasured,BelowPovN,PctBelowPoverty,Below50PovN,PctBelow50Pct,Below125PovN,PctBelow125Pov,Below150PovN,PctBelow150Pov,Below185PovN,PctBelow185Pov,Below200PovN,PctBelow200Pov,TotalHHAssist,PublicAssistanceN,PublicAssistancePct,NoPublicAssistanceN
10100,30.6,4106,36.6,46.1,53.9,38.6,0,3.8,0,1.6,2.8,11.6,44.6,55.4,3838,3.5,2994,6.6,19.1,34.9,21.4,18,3437,13,781,0.227233052,4106,3486,0.849001461,620,0.150998539,2208,300,0.135869565,32188,2208,367,0,49,318,241,44,0,33,1841,38,965,838,731,83,0,24,1156,0.523550725,3838,96.5,3.5,28.2,2625,2208,0.841142857,417,0.158857143,2208,367,0,0,0,0,1841,0,14,0,14,14,0.00634058,3987,1143,28.7,447,0.112114372,1224,0.306997743,1629,0.408577878,1738,0.435916729,1804,0.452470529,2208,538,0.24365942,1670
10201,39.4,7229,31.8,49.2,50.8,45.6,0.4,3.1,0,0.6,3.6,27.5,21.3,78.7,6548,22.7,4824,21,21.3,28.7,18.4,10.6,5765,9.9,1570,0.272333044,7229,4662,0.644902476,2567,0.355097524,2619,493,0.188239786,39122,2619,648,0,112,536,407,52,33,44,1971,143,1107,721,535,141,31,14,1257,0.479954181,6548,77.3,22.7,61.1,3007,2619,0.870967742,388,0.129032258,2619,648,0,0,0,0,1971,232,68,0,300,300,0.114547537,7216,2402,33.3,1054,0.146064302,2771,0.384007761,3279,0.454406874,3618,0.501385809,4153,0.575526608,2619,722,0.27567774,1897
10202,47.7,2304,37.8,52.7,47.3,29.3,0.5,8,0,8,3,26.4,35.5,64.5,2107,15.9,1680,16.3,20.7,27.1,23.6,12.4,1927,10.9,370,0.192008303,2304,1588,0.689236111,716,0.310763889,1022,119,0.116438356,27318,1022,245,0,58,187,127,0,45,15,777,4,379,394,355,28,11,0,581,0.568493151,2107,84.1,15.9,41.9,1227,1022,0.832925835,205,0.167074165,1022,245,0,0,0,0,777,14,50,0,64,64,0.062622309,1988,588,29.6,138,0.069416499,661,0.33249497,775,0.389839034,908,0.456740443,1081,0.543762575,1022,252,0.246575342,770
10300,44.4,6077,40.1,50.9,49.1,25.4,0.1,12.4,0,2.1,2.7,16.1,45.5,54.5,5705,19.4,4751,22.2,23.4,22.3,20.6,11.5,5311,7.1,708,0.133308228,6077,4118,0.677636992,1959,0.322363008,2739,149,0.054399416,37111,2739,765,0,79,686,345,200,56,85,1974,43,1207,724,585,109,14,16,1410,0.514786418,5705,80.6,19.4,46.8,3264,2739,0.839154412,525,0.160845588,2739,765,0,0,0,0,1974,127,85,51,263,263,0.096020445,5111,1019,19.9,691,0.135198591,1302,0.254744668,1610,0.315006848,2264,0.442966151,2379,0.465466641,2739,514,0.18765973,2225
10400,23.4,5011,25.4,41.2,58.8,13.2,0,6.7,0,1.9,3.5,8.3,69.2,30.8,4815,2.4,2568,0.9,14.8,16.5,35.2,32.6,4542,9.2,566,0.124614707,5011,4331,0.864298543,680,0.135701457,1869,124,0.066345639,38384,1869,427,0,69,358,257,77,10,14,1442,72,751,619,488,101,15,15,977,0.522739433,4815,97.6,2.4,9.6,2199,1869,0.849931787,330,0.150068213,1869,427,0,0,0,0,1442,15,53,0,68,68,0.036383093,3623,655,18.1,445,0.122826387,729,0.201214463,1211,0.334253381,1357,0.374551477,1357,0.374551477,1869,249,0.133226324,1620
10501,23.7,3837,37.8,46.4,53.6,27.1,0,2.4,0,0.4,4.9,6.1,59.5,40.5,3693,6.9,2904,7.4,11.1,29,29.7,22.8,3449,14.5,655,0.189910119,3837,2940,0.766223612,897,0.233776388,2288,166,0.072552448,25309,2288,402,0,11,391,323,50,18,0,1886,30,1256,600,501,88,11,0,991,0.433129371,3693,93.1,6.9,0,2563,2288,0.892703863,275,0.107296137,2288,402,0,0,0,0,1886,50,0,0,50,50,0.021853147,3828,815,21.3,419,0.109456635,1530,0.39968652,1753,0.457941484,2015,0.526384535,2038,0.532392894,2288,478,0.208916084,1810
10502,16.2,3413,28.5,58.9,41.1,17.8,0.2,13.9,0,7.1,2.9,14.9,52.3,47.7,3364,10.7,2031,13.6,11.2,28.8,28.4,18,3052,5.1,1167,0.382372215,3413,2321,0.68004688,1092,0.31995312,1519,81,0.053324556,35822,1519,280,0,47,233,169,6,47,11,1239,33,722,484,410,51,7,16,717,0.472021066,3364,89.3,10.7,12.4,1883,1519,0.80669145,364,0.19330855,1519,280,19,0,0,19,1239,27,67,0,94,113,0.074391047,3326,1303,39.2,906,0.272399278,1475,0.443475646,1499,0.450691521,1754,0.527360192,1847,0.555321708,1519,261,0.171823568,1258
10503,54.1,2080,43.4,50.2,49.8,9.5,0,16.2,0,0,5.8,16.6,53.8,46.2,2042,25.1,1596,23,21.6,12.3,24.4,18.8,1995,10,423,0.212030075,2080,1418,0.681730769,662,0.318269231,1165,32,0.027467811,19813,1165,267,0,6,261,97,9,81,74,898,0,618,280,195,77,8,0,541,0.464377682,2042,74.9,25.1,21.5,1350,1165,0.862962963,185,0.137037037,1165,267,0,0,0,0,898,0,22,0,22,22,0.01888412,2033,779,38.3,395,0.194294147,862,0.424003935,943,0.463846532,987,0.485489424,1005,0.494343335,1165,352,0.302145923,813
10600,32.7,6558,34.5,54.1,45.9,27,0,2.2,0,4.3,6.1,27.1,41.6,58.4,6218,14.8,4640,13.1,18.7,22.5,27.2,18.6,5404,9.1,796,0.147298298,6558,4903,0.747636475,1655,0.252363525,3085,314,0.10178282,37338,3085,691,0,118,573,404,80,81,8,2394,12,1328,1054,851,125,78,0,1627,0.5273906,6218,85.2,14.8,53.4,3270,3085,0.943425076,185,0.056574924,3085,691,0,0,0,0,2394,101,78,17,196,196,0.063533225,6401,1134,17.7,424,0.06623965,1610,0.2515232,1923,0.300421809,2227,0.347914388,2464,0.384939853,3085,406,0.131604538,2679
10701,52.7,3999,34,48.8,51.2,17.7,0,7.6,0,10.7,3.4,38.5,33.4,66.6,3592,22.2,2680,18.4,18.8,18.2,27.3,17.2,2966,9.4,326,0.10991234,3999,2633,0.658414604,1366,0.341585396,1552,155,0.099871134,58319,1552,770,0,137,633,343,164,48,78,782,0,352,430,337,50,8,35,1063,0.68492268,3592,77.8,22.2,38.7,1704,1552,0.910798122,152,0.089201878,1552,770,0,0,0,0,782,70,0,16,86,86,0.055412371,3999,596,14.9,105,0.026256564,911,0.227806952,1188,0.297074269,1568,0.392098025,1867,0.466866717,1552,364,0.234536082,1188
